     0 1301957863.820001 1301957863.820169  0.000168 10.10.18.253:58297
    22 1301957863.821677 1301957863.821839  0.000162 10.10.18.253:43608
    23 1301957863.822890 1301957863.823074  0.000184 10.10.18.253:52726
    24 1301957863.822895 1301957863.823160  0.000265 10.10.18.253:58297
    25 1301957863.823652 1301957863.823902  0.000250 10.10.18.253:60488
    26 1301957863.823775 1301957863.823918  0.000143 10.10.18.253:40135
    27 1301957863.824528 1301957863.824750  0.000222 10.10.18.253:58297
    28 1301957863.825006 1301957863.825183  0.000177 10.10.18.253:52726
    29 1301957863.825012 1301957863.825111  0.000099 10.10.18.253:40135
    30 1301957863.825239 1301957863.825359  0.000120 10.10.18.253:60488
    31 1301957863.826316 1301957863.826584  0.000268 10.10.18.253:58297
    32 1301957863.826766 1301957863.827087  0.000321 10.10.18.253:40135
    33 1301957863.826985 1301957863.827187  0.000202 10.10.18.253:60488
    34 1301957863.828025 1301957863.828197  0.000172 10.10.18.253:53320
    35 1301957863.828436 1301957863.828629  0.000193 10.10.18.253:58297
    36 1301957863.828455 1301957863.828556  0.000101 10.10.18.253:60488
    37 1301957863.829185 1301957863.829500  0.000315 10.10.18.253:40135
